"2024-01-09",15979
"2024-01-10",15105
"2024-01-11",15627
"2024-01-12",15290
"2024-01-13",6717
"2024-01-14",7100
"2024-01-15",14590
"2024-01-16",16800
"2024-01-17",15349
"2024-01-18",16562
"2024-01-19",15779
"2024-01-20",7740
"2024-01-21",8217
"2024-01-22",16092
"2024-01-23",15321
"2024-01-24",16660
"2024-01-25",15873
"2024-01-26",15075
"2024-01-27",6503
"2024-01-28",7056
"2024-01-29",19012
"2024-01-30",21260
"2024-01-31",19283
"2024-02-01",18249
"2024-02-02",17523
"2024-02-03",9394
"2024-02-04",7971
"2024-02-05",19735
"2024-02-06",20710
"2024-02-07",16926
"2024-02-08",16706
"2024-02-09",17877
"2024-02-10",9287
"2024-02-11",8555
"2024-02-12",20699
"2024-02-13",21730
"2024-02-14",22874
"2024-02-15",22560
"2024-02-16",20190
"2024-02-17",8069
"2024-02-18",9593
"2024-02-19",18055
"2024-02-20",22614
"2024-02-21",22433
"2024-02-22",21823
"2024-02-23",20979
"2024-02-24",9784
"2024-02-25",9632
"2024-02-26",21915
"2024-02-27",24347
"2024-02-28",23030
"2024-02-29",24902
"2024-03-01",23180
"2024-03-02",9657
"2024-03-03",11312
"2024-03-04",24108
"2024-03-05",23918
"2024-03-06",24564
"2024-03-07",24607
"2024-03-08",22826
"2024-03-09",10461
"2024-03-10",13898
"2024-03-11",23798
"2024-03-12",23658
"2024-03-13",25437
"2024-03-14",27999
"2024-03-15",31315
"2024-03-16",10916
"2024-03-17",12156
"2024-03-18",22229
"2024-03-19",27700
"2024-03-20",27983
"2024-03-21",34328
"2024-03-22",40701
"2024-03-23",12524
"2024-03-24",10837
"2024-03-25",30662
"2024-03-26",22752
"2024-03-27",25609
"2024-03-28",28388
"2024-03-29",26807
"2024-03-30",10044
"2024-03-31",9198
"2024-04-01",21098
"2024-04-02",34130
"2024-04-03",28254
"2024-04-04",28950
"2024-04-05",21817
"2024-04-06",9535
"2024-04-07",11228
"2024-04-08",27208
"2024-04-09",26889
"2024-04-10",30567
"2024-04-11",31962
"2024-04-12",26571
"2024-04-13",11212
"2024-04-14",12829
"2024-04-15",30468
"2024-04-16",30390
"2024-04-17",31428
"2024-04-18",33665
"2024-04-19",31377
"2024-04-20",14939
"2024-04-21",15098
"2024-04-22",33819
"2024-04-23",35908
"2024-04-24",38718
"2024-04-25",39502
"2024-04-26",39448
"2024-04-27",19652
"2024-04-28",20789
"2024-04-29",40455
"2024-04-30",45975
"2024-05-01",31308
"2024-05-02",40679
"2024-05-03",35206
"2024-05-04",16313
"2024-05-05",13558
"2024-05-06",35596
"2024-05-07",41209
"2024-05-08",43443
"2024-05-09",39501
"2024-05-10",36411
"2024-05-11",14215
"2024-05-12",13990
"2024-05-13",40327
"2024-05-14",52105
"2024-05-15",43337
"2024-05-16",37948
"2024-05-17",31087
"2024-05-18",13873
"2024-05-19",14611
"2024-05-20",33841
"2024-05-21",42127
"2024-05-22",51392
"2024-05-23",44185
"2024-05-24",70745
"2024-05-25",21465
"2024-05-26",21212
"2024-05-27",66700
"2024-05-28",72923
"2024-05-29",76950
"2024-05-30",64841
"2024-05-31",61243
"2024-06-01",18523
"2024-06-02",17388
"2024-06-03",65599
"2024-06-04",77638
"2024-06-05",76287
"2024-06-06",69021
"2024-06-07",63124
"2024-06-08",17062
"2024-06-09",17520
"2024-06-10",69906
"2024-06-11",76745
"2024-06-12",79082
"2024-06-13",86478
"2024-06-14",44569
"2024-06-15",12060
"2024-06-16",16644
"2024-06-17",84415
"2024-06-18",46779
"2024-06-19",30181
"2024-06-20",35228
"2024-06-21",34153
"2024-06-22",14703
"2024-06-23",13860
"2024-06-24",35929
"2024-06-25",40938
"2024-06-26",39891
"2024-06-27",42956
"2024-06-28",36073
"2024-06-29",14477
"2024-06-30",12219
"2024-07-01",40654
"2024-07-02",43741
"2024-07-03",41779
"2024-07-04",30008
"2024-07-05",28872
"2024-07-06",10273
"2024-07-07",14278
"2024-07-08",36643
"2024-07-09",42570
"2024-07-10",40299
"2024-07-11",39000
"2024-07-12",36277
"2024-07-13",13952
"2024-07-14",11929
"2024-07-15",38175
"2024-07-16",41216
"2024-07-17",41205
"2024-07-18",33677
"2024-07-19",34347
"2024-07-20",11154
"2024-07-21",14312
"2024-07-22",36949
"2024-07-23",48100
"2024-07-24",45367
"2024-07-25",46410
"2024-07-26",37536
"2024-07-27",12107
"2024-07-28",12189
"2024-07-29",42238
"2024-07-30",48365
